,loss,val_loss
0,0.23214194178581238,0.5071877241134644
1,0.10875558108091354,0.4566511809825897
2,0.07091837376356125,0.14456413686275482
3,0.05471183732151985,0.12562820315361023
4,0.03716377913951874,0.0781988576054573
5,0.02803894877433777,0.06314793974161148
6,0.020970501005649567,0.05515231937170029
7,0.016161663457751274,0.04622824862599373
8,0.01257351040840149,0.03325721621513367
9,0.010346625931560993,0.022106651216745377
10,0.009027556516230106,0.016140203922986984
11,0.00812006276100874,0.013514128513634205
12,0.0073842694982886314,0.012706372886896133
13,0.006761379074305296,0.01300228200852871
14,0.006250905804336071,0.014697256498038769
