,loss,val_loss
0,0.6565311551094055,0.4788115620613098
1,0.2058332860469818,0.1542927324771881
2,0.12275533378124237,0.12137211859226227
3,0.10010933876037598,0.071292445063591
4,0.08010931313037872,0.06336326897144318
5,0.06886573135852814,0.05350717902183533
6,0.05882852524518967,0.060439400374889374
7,0.04644647613167763,0.0517437718808651
8,0.0390545092523098,0.04444054514169693
9,0.03237495198845863,0.038482677191495895
10,0.024557355791330338,0.03555767983198166
11,0.021422676742076874,0.032769013196229935
12,0.02063707634806633,0.026876136660575867
13,0.0174177847802639,0.02946530282497406
14,0.01664407178759575,0.026739012449979782
15,0.014018482528626919,0.0219599399715662
16,0.01453111320734024,0.02704898826777935
17,0.014736993238329887,0.032134078443050385
18,0.013987503945827484,0.024375412613153458
19,0.011205339804291725,0.02776659093797207
