,Time(min),Bulk Density,X Extruder Load,X Extruder RPM,X Extruder Water,X Temp Zone 3,Temp Zone 5,Die Temp,SME-Watt,Score,Score_unsup,Score_semi,ts,group,feed_comp_num,Time-ts,Time(min)-group-all,split,Die Temp_gbm,SME-Watt_gbm,Score_gbm
11,0,274.0,32.4539223,455.4281747333334,21.23846896666667,79.71099026666666,100.61037878333332,161.85999933333332,828.7407684000001,5.0,5.741714285714285,5.413081,908,FBC + Gluten + SPC,3,77,11,train,165.1845012241197,860.8274302664885,5.874650376811542
12,1,274.0,32.200875716666665,455.45311261666666,21.24388765,78.95589068333334,102.6968886,160.81603236666666,818.4121164000002,6.5,6.171519652599933,6.5534195,908,FBC + Gluten + SPC,3,78,12,train,160.69971778917198,823.6812023307593,6.461883007745787
13,2,274.0,32.91348981666667,455.4428817,21.564577016666664,79.25520763333333,102.89922183333331,159.48923116666668,845.0551128000001,8.0,6.601325019485581,7.693758,908,FBC + Gluten + SPC,3,79,13,train,160.1464665452778,819.7964668061932,7.577200053382716
14,3,274.0,31.714591700000003,455.4690984333334,22.171275366666663,80.59898453333334,108.88694548333334,164.20435418333332,800.7086532000001,8.0,6.251378368773628,7.3514285,908,FBC + Gluten + SPC,3,80,14,train,161.97819592118708,828.92340231858,7.724063677970235
15,4,274.0,31.33984716666667,455.4511943333334,21.546864216666663,80.13873115,106.53715696666669,158.7146882,788.807496,8.0,5.901431718061674,7.009099,908,FBC + Gluten + SPC,3,81,15,train,160.55746044983016,799.2286770293165,7.708471128486375
16,5,274.0,32.41643766666667,455.44831690000007,21.950968666666665,80.03956838333333,103.92429518333331,159.09261313333334,827.5896672,7.0,6.050762719386976,7.009099,908,FBC + Gluten + SPC,3,82,16,train,157.36448396610922,813.8581964470758,6.695061123286445
17,6,274.0,32.726676233333336,455.4169847,22.068014016666663,80.95154073333333,103.7757955,160.64982643333332,838.9718652,6.0,6.200093720712277,7.009099,908,FBC + Gluten + SPC,3,83,17,train,157.77800127006495,817.1119152950953,6.445337732131505
18,7,274.0,31.47820493333333,455.4323310333333,22.4933194,81.23968156666666,104.52682568333331,161.0340504,788.3314488000001,7.5,6.316214525026798,7.3514285,908,FBC + Gluten + SPC,3,84,18,train,161.97819592118708,806.6944469837995,7.116880009989653
19,8,274.0,31.180359783333333,455.4192226833333,21.98442945,80.95072793333334,102.89840916666668,159.08529843333332,781.4014608,9.0,6.432335329341317,7.693758,908,FBC + Gluten + SPC,3,85,19,train,158.53824180552866,795.7468077699152,8.360120166444371
20,9,274.0,32.38139111666667,455.41698463333336,22.0744487,80.25354050000001,103.91779471666668,157.88386296666667,827.4726084,7.5,7.550731911815575,6.872638,908,FBC + Gluten + SPC,3,86,20,train,158.53824180552866,810.6409358525118,7.193591122612483
21,10,274.0,32.66643663333333,455.4057946166667,21.5765321,79.9576778,109.11142161666666,160.56083123333335,837.2237592000001,6.0,8.669128494289833,6.051518,908,FBC + Gluten + SPC,3,87,21,train,158.1281906298753,810.1763162432007,6.514928101256535
22,0,286.0,32.5632269,350.83810823333334,21.3075583,80.24033233333333,111.46100805,150.51920913333333,762.4462068,7.0,6.425028184892898,6.594353,909,FBC + Gluten + SPC,3,88,22,train,157.77800127006495,810.1763162432007,6.9191148887643745
23,0,238.0,31.50461675,356.9388455833334,5.639876016666666,78.8355947,106.48352648333334,148.73239891666665,726.6717384000001,6.0,7.684829833454018,5.9438415,901,FBC + PPI + SPC,1,0,0,train,148.73239891666665,726.6717384000001,6.0
24,1,238.0,31.64653028333333,356.8470883,5.54694535,82.28373541666666,101.3163102,148.8977916,732.1228548000001,6.5,7.02946527643924,6.446668750000001,901,FBC + PPI + SPC,1,1,1,train,148.8977916,732.1228548000001,6.5
25,2,238.0,31.681068916666668,356.8224705,5.710894916666667,82.27276245,101.08248946666669,148.8228163,733.8085236000002,7.0,6.37410071942446,6.949496,901,FBC + PPI + SPC,1,2,2,train,146.28104395400325,735.0782536189259,6.766073944300746
26,3,238.0,31.79362445,356.9366075666667,5.804096583333333,77.88440471666667,103.22933355,148.06615481666668,738.3504684000001,7.0,6.67053307418086,6.80501425,901,FBC + PPI + SPC,1,3,3,train,146.28104395400325,747.640779100842,6.813563688562585
27,4,238.0,32.01792253333333,356.9263768666667,5.78465695,79.04184506666667,104.94611871666666,147.3375328333333,750.5598828000001,7.0,6.96696542893726,6.6605325,901,FBC + PPI + SPC,1,4,4,train,146.28104395400325,739.22068954833,6.813563688562585
28,5,238.0,32.08567895,356.8109609,5.773311566666666,83.64153385,108.73417965,146.67108591666664,751.0476324,6.5,7.002644697095099,6.302187,901,FBC + PPI + SPC,1,5,5,train,146.05598761467016,749.6041231749086,6.813563688562585
29,6,238.0,32.98998281666667,356.86754994999995,5.844736716666668,80.9700321,108.33499786666668,147.88308501666668,790.3877832000001,6.0,7.038323965252938,5.9438415,901,FBC + PPI + SPC,1,6,6,train,146.28104395400325,766.1716758308479,6.634013515584483
30,7,238.0,33.35121673333334,356.93309075,6.267124533333333,77.78585151666667,106.72222268333331,147.91295313333333,805.3325136000001,6.0,7.041226400582341,6.016632100000001,901,FBC + PPI + SPC,1,7,7,train,149.2455930829256,800.7611034773436,6.183332807219576
31,8,238.0,33.22261101666667,356.82918451666666,6.1894678,76.95333179999999,106.8345624,151.34617283333333,799.7760492000001,6.0,7.044128835911742,6.0894227,901,FBC + PPI + SPC,1,8,8,train,150.54638286571765,792.3410139248316,6.183332807219576
32,9,238.0,32.917756266666665,356.80712435,6.0209462,77.75537106666667,110.71952538333332,148.38393638333335,785.9199756,6.375,7.858161847548438,6.32913945,901,FBC + PPI + SPC,1,9,9,train,150.39428041856178,778.3901678472051,6.446885509609906
33,10,238.0,31.91583015,356.9314922833334,6.049529866666666,78.95223298333332,109.62924091666667,150.26604025,745.4365272,6.75,8.672194859185133,6.5688562,901,FBC + PPI + SPC,1,10,10,train,149.42233965297876,757.9962328727299,6.507833085085928
34,0,268.5,28.04018776666667,455.4627042,12.616401,81.90171533333334,111.35496605,142.33979103333334,657.4343532,6.0,6.570227670753065,6.612285,902,FBC + PPI + SPC,1,11,11,train,146.05598761467016,693.1819216375586,6.291770126957436
35,1,268.5,27.8530697,455.4607859,12.436160683333332,74.69311348333333,114.04055636666666,143.48209683333334,651.4330536,6.0,6.6949598033620354,6.278063250000001,902,FBC + PPI + SPC,1,12,12,train,143.99492278749113,671.6819375618962,6.012671484772669
36,2,268.5,27.825540316666668,455.46142533333335,11.820390416666667,79.7567114,108.43758675,142.89895601666666,649.9385808000001,6.0,6.819691935971006,5.9438415,902,FBC + PPI + SPC,1,13,13,train,144.78476532830663,666.7306417316908,5.919964584038094
37,3,268.5,27.847787383333333,455.45822816666674,11.64431575,85.10255945,105.51391121666668,142.90058148333335,652.1471208,6.0,6.812080604857012,6.016632100000001,902,FBC + PPI + SPC,1,14,14,train,143.36806353877176,647.5499672603431,6.115604428982593
38,4,268.5,28.8144627,455.46302391666666,11.51426645,77.11142361666666,110.88122953333333,143.8045513333333,693.3719352,6.0,6.804469273743017,6.0894227,902,FBC + PPI + SPC,1,15,15,train,143.5931198781049,672.9442576233015,6.115604428982593
39,5,268.5,28.20932558333333,455.4611056166667,12.2607974,74.504339,115.06217791666668,144.75261238333331,664.1107044,5.5,6.709229925019388,5.75428785,902,FBC + PPI + SPC,1,16,16,train,144.78476532830663,671.3318842658682,6.1783899224617596
40,6,268.5,26.873086983333334,455.4636633500001,13.165758283333334,83.63828286666667,109.6296472,144.00509491666668,612.2138952000001,5.0,6.613990576295759,5.419153,902,FBC + PPI + SPC,1,17,17,train,145.04108988759083,629.8036960443695,5.574191669969043
41,7,268.5,26.11496415,455.4636633500001,13.4379142,81.1541338,104.14206765,140.2555201,584.0335452,5.5,6.8958760489379305,5.9339625,902,FBC + PPI + SPC,1,18,18,train,142.09850361696894,619.6605909982321,5.763233193037541
42,8,268.5,26.8489099,455.4620647666667,14.23294345,73.17336446666667,105.3186883,136.86883491666669,612.40119,6.0,7.177761521580102,6.448772,902,FBC + PPI + SPC,1,19,19,train,140.65053360748303,658.1999100429865,6.054148189732654
43,9,268.5,27.262560633333333,455.4588676,13.9850365,77.87180691666667,112.45378283333334,136.96839546666666,627.1078944000001,6.625,7.914348690625524,6.7090975,902,FBC + PPI + SPC,1,20,20,train,140.65053360748303,656.5875366855532,6.514235461172911
44,10,268.5,27.078591716666665,455.4627042,13.399373333333331,85.2738591,116.54514441666667,138.3730123,620.6851668,7.25,8.650935859670946,6.969423,902,FBC + PPI + SPC,1,21,21,train,139.3884391253476,629.8036960443695,6.7666057052783675
45,0,333.0,26.24296023333333,455.4697379666667,19.077062166666668,82.90858281666667,110.5765103,131.368625,589.5861060000001,6.0,7.372249004401593,5.9438415,903,FBC + PPI + SPC,1,22,22,train,136.53375072784135,636.5933217756076,6.291770126957436
46,0,151.0,34.24302558333333,455.4674999500001,13.322664766666666,81.64710216666667,111.09859575,164.29863291666666,895.9764924,7.0,6.18625,6.9558043,904,FBC + SPI + SPC,2,33,0,train,164.29863291666666,895.9764924,7.0
