Timestamp,Temp Downspout,Temp Zone 1,Temp Zone 2,Temp Zone 3,Temp Zone 4,Die Temp,Bin Feeder RPM,Extruder Load,Extruder RPM,Knife RPM,Extruder Water,Cylinder Water,Extruder Steam,Cylinder Steam,ts,Bulk Density,WHC,In-barrel MC,Time(min),SME-Load,SME-Watt,Raw Material Moisture,group,Score_semi_sup_CV,Score_unsup_CV,Score
2024-01-01 00:00:00,25.9344264,28.989377216666664,49.912297466666665,78.8355947,106.48352648333334,148.73239891666665,13.897628416666667,31.50461675,356.9388455833334,366.79579958333335,5.639876016666666,9.958150700000001,0.22992856666666667,0.0507716,901,238.0,272.2,0.2972600575733602,0,206.23512318064596,726.6717384000001,0.0829741293043495,FBC + PPI + SPC,6.0816827,7.684829833454018,6.0
2024-01-01 00:01:00,25.936661616666665,28.990393199999996,49.9122975,82.28373541666666,101.3163102,148.8977916,14.026053466666667,31.646530283333334,356.8470883,367.23552656666664,5.54694535,9.307181816666667,0.6073711166666667,0.03563701666666667,901,238.0,272.2,0.2972600575733602,1,206.18210688705636,732.1228548000001,0.0829741293043495,FBC + PPI + SPC,6.375654,7.02946527643924,6.5
2024-01-01 00:02:00,25.937068016666668,28.992831616666667,49.91331343333333,82.27276245,101.08248946666667,148.8228163,14.135817833333334,31.681068916666668,356.8224705,366.99367686666665,5.710894916666667,9.441981766666666,0.5710552999999999,0.0377499,901,238.0,272.2,0.2972600575733602,2,206.167883007873,733.8085236000002,0.0829741293043495,FBC + PPI + SPC,6.6696253,6.37410071942446,7.0
2024-01-01 00:03:00,25.9362552,28.989783583333335,49.0408067,77.88440471666667,103.22933355,148.06615481666668,14.265380816666667,31.79362445,356.9366075666667,366.9692476166667,5.804096583333333,9.402693300000001,0.13051776666666667,0.04847591666666666,901,238.0,272.2,0.2972600575733602,3,206.23383008058514,738.3504684000001,0.0829741293043495,FBC + PPI + SPC,6.67186335,6.6705330741808595,7.0
2024-01-01 00:04:00,25.9348328,28.991409233333332,48.9174691,79.04184506666667,104.94611871666666,147.3375328333333,14.385840949999999,32.01792253333333,356.9263768666667,367.0352064666667,5.78465695,9.390974533333333,0.11523068333333333,0.044372383333333335,901,238.0,272.2,0.2972600575733602,4,206.22791890083872,750.5598828000001,0.0829741293043495,FBC + PPI + SPC,6.6741014,6.96696542893726,7.0
2024-01-01 00:05:00,25.933207200000002,29.558963249999998,48.91706273333333,83.64153385,108.73417965,146.67108591666664,15.8014754,32.08567895,356.8109609,367.1573528,5.773311566666666,8.80737195,0.18399658333333332,0.08485968333333332,901,238.0,272.2,0.2972600575733602,5,206.1612328945465,751.0476324,0.0829741293043495,FBC + PPI + SPC,6.37789205,7.002644697095099,6.5
2024-01-01 00:06:00,25.933004,29.944038383333332,49.21738056666666,80.9700321,108.33499786666667,147.88308501666668,15.4590589,32.98998281666667,356.86754994999995,366.9374895,5.8447367166666675,8.972214083333334,0.16004425,1.0244005166666665,901,238.0,272.2,0.2972600575733602,6,206.19392939099632,790.3877832000001,0.0829741293043495,FBC + PPI + SPC,6.0816827,7.038323965252938,6.0
2024-01-01 00:07:00,25.931378399999996,28.96235078333333,49.91311028333333,77.78585151666667,106.72222268333333,147.91295313333333,13.989035533333332,33.35121673333334,356.93309075,366.87885924999995,6.267124533333333,9.101967466666668,0.0305963,0.8692357666666666,901,238.0,272.2,0.2972600575733602,7,206.23179810472308,805.3325136000001,0.0829741293043495,FBC + PPI + SPC,6.095413000000001,7.041226400582341,6.0
2024-01-01 00:08:00,25.935036,27.994684266666663,50.63688033333333,76.95333179999999,106.83456240000001,151.34617283333333,13.6080842,33.22261101666667,356.82918451666666,367.3601156833334,6.1894678,9.144338,0.07699513333333334,0.18306158333333336,901,238.0,272.2,0.2972600575733602,8,206.1717622887958,799.7760492000001,0.0829741293043495,FBC + PPI + SPC,6.1091433,7.044128835911742,6.0
2024-01-01 00:09:00,25.9323944,27.995293866666668,50.91769188333333,77.75537106666667,110.71952538333333,148.38393638333335,13.379680299999999,32.917756266666665,356.80712435,370.0448918833334,6.0209462,8.965440150000001,0.022644616666666666,0.10960321666666667,901,238.0,272.2,0.2972600575733602,9,206.15901618047448,785.9199756,0.0829741293043495,FBC + PPI + SPC,6.1091433,7.044128835911742,6.0
2024-01-01 00:00:00,25.9352392,28.990190016666666,49.911281583333334,81.90171533333334,111.35496605,142.33979103333334,13.238663166666667,28.04018776666667,455.4627042,366.7884708,12.616401,8.14126445,0.021411766666666665,0.04183318333333333,902,268.5,181.9,0.3740367129918344,0,272.08679678282607,657.4343532,0.0829741293043495,FBC + PPI + SPC,6.203516,6.570227670753065,6.0
2024-01-01 00:01:00,25.9328008,28.991206033333334,49.91270385,74.69311348333333,114.04055636666666,143.48209683333334,13.313457616666666,27.8530697,455.4607859,366.81045731666666,12.436160683333332,8.870368966666666,0.042026600000000004,0.034844766666666666,902,268.5,181.9,0.3740367129918344,1,272.0856508182993,651.4330536,0.0829741293043495,FBC + PPI + SPC,6.142599349999999,6.6949598033620354,6.0
2024-01-01 00:02:00,25.937677599999997,28.9893772,49.91209435,79.7567114,108.43758675,142.89895601666666,13.3552546,27.825540316666668,455.46142533333335,366.80312843333337,11.820390416666667,8.32260035,0.04351471666666667,0.03236625,902,268.5,181.9,0.3740367129918344,2,272.0860328064749,649.9385808000001,0.0829741293043495,FBC + PPI + SPC,6.0816827,6.819691935971006,6.0
2024-01-01 00:03:00,25.936052016666668,28.990393216666668,49.91168793333333,85.10255945,105.51391121666667,142.90058148333335,13.295176166666666,27.847787383333333,455.45822816666674,366.67609618333336,11.64431575,7.9272778,0.07744416666666668,0.03978138333333334,902,268.5,181.9,0.3740367129918344,3,272.084122865597,652.1471208,0.0829741293043495,FBC + PPI + SPC,6.095413000000001,6.8120806048570115,6.0
2024-01-01 00:04:00,25.9346296,29.2695981,49.912907016666665,77.11142361666666,110.88122953333333,143.8045513333333,13.440213833333333,28.8144627,455.46302391666666,366.62235185000003,11.514266450000001,7.597322950000001,0.17344708333333334,0.04100035,902,268.5,181.9,0.3740367129918344,4,272.0869877769139,693.3719352,0.0829741293043495,FBC + PPI + SPC,6.1091433,6.804469273743017,6.0
